HPA_heart HPA_brain HPA_kidney AltIso_heart AltIso_brain GTEx_heart GTEx_brain GTEx_kidney Atlas_heart Atlas_brain Atlas_kidney
ENSG00000006652 22.2 26.5 22.2 6.35 5.24 7.24334335327148 5.99178171157837 5.02889633178711 7.412 5.153 5.382
ENSG00000006659 0 0 0 0 0 0 0 0 0 0.167 0
ENSG00000006695 21.6 4.9 10.2 9.98 3.96 18.7710304260254 1.86520051956177 6.63618659973145 2.354 0.921 1.674
ENSG00000006712 25.8 25.1 28.6 21.6 35.15 15.3441104888916 27.7950115203857 26.2835235595703 5.85 9.508 7.627
ENSG00000006715 28.5 60.8 26.1 5.08 18.57 5.43767595291138 10.8250570297241 4.98659896850586 10.269 28.843 15.885
ENSG00000006747 0.3 6.6 56.5 0.09 1.48 0.00482554361224174 4.71016931533813 22.7448883056641 0.097 13.793 30.785
ENSG00000006756 5.4 3.6 40.6 3.92 0.81 2.36491441726685 2.09766006469727 12.124623298645 1.386 1.279 10.979
ENSG00000006757 33.3 7.3 38.4 7.41 3.49 7.56126260757446 5.91724729537964 5.25367307662964 2.211 2.897 5.87
ENSG00000006788 0 0 0 0.42 0.02 0.0707078352570534 0.015735812485218 0 0.084 0.082 0.003
ENSG00000006831 20.8 41.2 21.2 14.55 31.32 11.0454015731812 40.5408363342285 13.0067024230957 4.006 4.453 2.698
ENSG00000006837 5.1 6.2 3.4 0.39 1.15 1.14995455741882 1.21494901180267 0.323514610528946 0.934 2.31 1.845
ENSG00000007001 0 2.1 32.3 0 0.68 0 0.454767853021622 2.44259071350098 0 0.456 4.87
ENSG00000007038 0 0.2 0.1 0 0.09 0.04487020149827 0.0245363544672728 0 0.097 0 0
ENSG00000007047 11.5 21.4 8.5 7.2 20.13 5.01915311813354 7.392578125 5.00930118560791 2.025 4.939 1.263
ENSG00000007062 7.5 3.5 21.5 0.25 0.51 0.633680462837219 0.849711060523987 2.31398797035217 2.307 1.207 20.861
ENSG00000007080 23.3 31.3 34.6 58.2 39.22 36.3351097106934 45.6062660217285 46.157657623291 6.531 5.519 5.256
ENSG00000007129 0.5 1.2 0.6 0.48 0.74 0.228430077433586 1.82907354831696 0.167466878890991 0.439 1.396 0.192
ENSG00000007168 43.2 102.1 37.9 20.92 46.09 26.5241527557373 37.5527420043945 20.0570468902588 17.271 39.03 11.43
ENSG00000007171 0.4 0.6 0.5 0.03 1.19 0.162460550665855 0.215261891484261 1.68854677677155 0.044 0.225 0.057
ENSG00000007174 0.1 5.1 1 0 0.3 0 0.350248128175735 0.0975004211068153 0.004 1.091 0.158
ENSG00000007202 19.8 26.9 40.1 11.44 13.57 12.4884595870972 12.5856628417969 33.6290626525879 6.447 7.597 11.278
ENSG00000007237 33.2 94 1.5 9.01 107.34 13.8066692352295 37.9150466918945 0.927607417106628 25.869 68.566 1.348
ENSG00000007264 0.7 7.9 0.8 0.32 13.06 0.0618379190564156 6.59614181518555 0.506383419036865 0.138 2.322 0.054
ENSG00000007306 0.1 0.3 0.9 0 0 0 0 0.0489428117871284 0 0 0.008
ENSG00000007312 5.7 0.3 1.9 3.74 0.22 3.96696090698242 0.347984164953232 1.36950218677521 0.245 0 0.147
ENSG00000007314 0.5 0 0.4 0.8 0.01 0.224930003285408 0.0876455530524254 0.421409845352173 0.024 0.039 0.021
ENSG00000007341 8.2 7.2 10.9 2.59 2.67 2.06845879554749 1.7019008398056 1.45565152168274 5.004 7.236 4.818
ENSG00000007372 0.3 20.3 0.8 0 4.19 0.14325287938118 0.96652638912201 0.204568147659302 0.194 4 0.305
ENSG00000007376 3.3 5.2 6 2.24 4.44 2.50505948066711 4.18939304351807 5.20755004882812 0.009 0.203 0.072
ENSG00000007384 23.3 4.9 6.3 4.52 1.72 13.1831760406494 5.38627052307129 9.35040473937988 0.386 0.203 0.198
ENSG00000007402 4.4 3.2 1.6 1.05 4.6 0.603651106357574 5.69131326675415 4.34612417221069 0.761 1.803 0.396
ENSG00000007516 1.2 14.8 6.7 0.44 8.76 1.63922011852264 24.8883209228516 3.89601588249207 0.025 1.349 0.148
ENSG00000007541 12 15.1 31.5 3.31 8.79 4.11193323135376 8.26513290405273 26.8537712097168 0.297 0.341 0.539
ENSG00000007545 5.2 7.8 4.9 1.64 3.08 0.185513764619827 0.236703634262085 0.561321258544922 0.763 1.378 0.844
ENSG00000007866 19.7 0.9 7.8 9.32 0.71 12.9296922683716 1.85711228847504 12.0507497787476 1.539 0.253 0.632
ENSG00000007908 1.3 0.5 1.3 0.17 0.34 0.199335321784019 0.371970891952515 0.958610892295837 2.396 3.061 1.11
ENSG00000007923 30.9 22.5 44.4 28 21.13 12.147198677063 4.05291128158569 13.3447713851929 8.732 8.885 12.577
ENSG00000007933 1.9 0.4 11.3 1.45 0.15 0.68605625629425 0.679762601852417 3.85893893241882 1.024 0.365 3.733
ENSG00000007944 14.5 9.8 27.2 5.14 2.55 6.72755002975464 3.11117386817932 7.30188989639282 2.471 1.542 3.598
ENSG00000007952 0 0.1 0.1 0 0 0.0249405615031719 0.0556894689798355 0.072253055870533 0 0 0
ENSG00000007968 0 0.1 0.1 0.16 0.04 0.0423811338841915 0.00368697266094387 0.102687530219555 0.043 0.007 0.007
ENSG00000008018 149.3 74.4 125.5 39.22 36.15 41.6180839538574 35.4579772949219 39.4460411071777 9.606 10.672 8.218
ENSG00000008056 3.3 115 0.2 1.19 121.26 0.16464675962925 18.7638454437256 0.358460187911987 0.771 22.11 0.244
ENSG00000008083 3.9 6.8 3.2 3.99 5.02 2.52968215942383 3.54194092750549 1.90255069732666 1.338 1.626 1.108
ENSG00000008086 2 11.4 3 1.15 5.72 0.501920580863953 0.296489983797073 0.416474044322968 2.533 20.917 3.309
ENSG00000008128 20.3 15 18.7 3.78 7.8 4.78305625915527 6.97022342681885 7.76562929153442 0.785 0.29 0.412
ENSG00000008196 0 0.1 7.3 0 0 0.0273539014160633 0 2.49620270729065 0 0.02 0.874
ENSG00000008197 0 0 0 0 0 0 0 0.00656350562348962 0 0.279 0
ENSG00000008226 0.2 0.4 0.3 0 0.1 0.0650170668959618 0.898275256156921 0.308431476354599 0.101 0.955 0.223
ENSG00000008256 19.5 17.2 10.8 7.34 5.51 11.1452569961548 5.6830358505249 5.92960596084595 3.013 2.918 1.449
ENSG00000008277 1.6 26.4 3.4 0 2.47 0.432819902896881 5.07071256637573 0.687018513679504 1.568 49.181 5.722
ENSG00000008282 55.5 35.8 94.8 10.21 9.05 48.8290061950684 29.3438625335693 45.279956817627 20.425 14.379 31.794
ENSG00000008283 8.5 12.4 21.5 2.82 11.05 3.75793409347534 14.8905296325684 22.8089542388916 2.005 4.899 4.886
ENSG00000008294 24.1 79.3 37.2 6.99 28.21 8.7679214477539 27.1509628295898 10.342001914978 22.908 39.41 30.905
ENSG00000008311 13.1 10.7 17.6 4.4 1.21 9.15432357788086 2.19559216499329 6.01726579666138 13.093 2.686 13.493
ENSG00000008323 0.5 0.3 1.6 0.32 0.25 0.0419510751962662 0 0.649127542972565 0.845 0.153 1.455
ENSG00000008324 12.1 18.7 15.5 7.39 15.25 8.31059169769287 16.0785579681396 9.30322933197021 3.34 5.3 1.774
ENSG00000008382 11 9.7 16.8 7.9 10.79 9.24282741546631 8.79634189605713 11.2549839019775 0.91 0.912 4.082
ENSG00000008394 22.5 59.3 226.3 8.36 12.94 1.98535060882568 8.25774478912354 22.2110214233398 170.148 161.112 380.323
ENSG00000008405 6.8 9.5 11.3 2.66 2.74 4.39943170547485 4.02723598480225 5.00556707382202 2.935 3.245 2.68
ENSG00000008438 0.1 0.1 0 0.14 0.43 0.0775417536497116 0.275613844394684 0.102692224085331 0 0.22 0
ENSG00000008441 44.4 86.2 11.9 25.05 113.8 10.0346899032593 21.7870063781738 4.26667070388794 6.135 10.77 1.45
ENSG00000008513 43 9.4 45 25.33 1.77 20.2635536193848 2.01482892036438 22.544641494751 17.418 3.023 16.074
ENSG00000008516 0.4 0.8 0.3 0.16 0 0.387357294559479 0.576616883277893 0.769938826560974 0.131 0.021 0.016
ENSG00000008517 77.6 11.3 116.6 33.27 12.26 23.6489810943604 8.3190631866455 93.0709457397461 100.396 22.66 382.387
ENSG00000008710 29.3 35.1 14.5 8.6 5.53 6.17754507064819 4.65125036239624 3.96959400177002 0.556 0.364 0.252
ENSG00000008735 0.2 55.4 1.1 0.19 125.12 0.120496354997158 23.9645481109619 0.478737115859985 0.023 6.936 0.103
ENSG00000008838 27.7 35.5 24.9 12.56 16.86 15.9179563522339 9.93623542785645 17.4749622344971 1.81 3.107 2.201
ENSG00000008853 16.2 22 9.1 6.26 22.73 4.30384159088135 1.87953078746796 5.4608359336853 6.565 13.929 3.961
ENSG00000008869 7 10 7.4 3.51 5.52 7.02987670898438 4.51674938201904 4.05437040328979 3.95 5.143 3.426
ENSG00000008952 38.7 96.9 102.3 10.59 34.43 9.67621231079102 49.7029037475586 13.4181566238403 9.391 21.693 13.045
ENSG00000008988 643 232.9 478.9 445.07 450.42 130.708724975586 158.473983764648 110.767303466797 119.479 72.641 87.533
ENSG00000009307 291.5 119 168.8 174.45 87.7 135.223922729492 90.6505508422852 51.1960258483887 574.205 297.527 257.206
ENSG00000009335 22.9 17 20.1 11.25 7.01 10.6418428421021 5.49783420562744 11.9119672775269 6.923 5.558 5.883
ENSG00000009413 3.8 6.5 4.5 0.69 1.97 2.91249179840088 2.71875143051147 1.24599325656891 3.796 3.027 3.571
ENSG00000009694 0.3 2.4 1 0.03 0.47 0.528600931167603 1.4436674118042 0.826449513435364 0.482 9.254 3.44
ENSG00000009709 0 0.9 0 0 0 0 0.16253924369812 0 0 0.044 0
ENSG00000009724 0.7 1.2 0.7 0 0 0.398142546415329 0.246113881468773 0.484294354915619 0.305 0.326 0.341
ENSG00000009765 0.3 0.1 33.6 0 0 0.0194390751421452 0.256515353918076 1.77244675159454 0 0.03 13.267
ENSG00000009780 6.3 5.1 6.9 2.57 2.65 2.41245293617249 2.04276251792908 1.9780707359314 7.881 11.149 10.98
ENSG00000009790 3.4 2.6 4.4 0 0.44 0.257278293371201 0.735961496829987 2.64154124259949 0.29 0.718 0.45
ENSG00000009830 5.4 10.8 7.9 1.33 4.39 3.44491338729858 4.90329599380493 7.20958757400513 0.383 0.863 0.51
ENSG00000009844 23.9 29.7 23.9 11.74 20.87 9.58084869384766 8.93242645263672 6.94997787475586 1.942 1.612 1.555
ENSG00000010017 20.8 32.9 19.5 3.44 5.28 10.5576200485229 14.4877452850342 8.69332027435303 6.785 14.837 5.378
ENSG00000010030 0.4 0.5 0.6 0.22 0 0 0.229309782385826 0.246825486421585 0.08 0.093 0.091
ENSG00000010072 3.6 4.2 4.2 1.22 2.52 2.18124294281006 1.18298077583313 1.31082952022552 1.781 2.29 2.096
ENSG00000010165 9.5 11.8 12.6 10.81 35.18 4.18801879882812 4.14123582839966 6.99593496322632 3.404 5.963 5.338
ENSG00000010219 23.1 17.5 19.2 4.12 7.91 2.05257678031921 4.28800392150879 2.11208653450012 0.596 0.698 0.352
ENSG00000010244 50.2 49.6 46.4 27.49 27.82 8.98995399475098 5.77668619155884 6.56626844406128 88.049 60.297 93.635
ENSG00000010256 554.6 122.3 240.9 289.84 64.55 345.896820068359 48.999698638916 105.751678466797 15.218 7.428 10.285
ENSG00000010270 21.8 32.1 28.5 6.88 11.11 7.99761581420898 20.3713073730469 11.0109367370605 5.995 9.349 8.153
ENSG00000010278 117.8 133.3 217.8 55.23 114.28 21.1913948059082 22.8128662109375 48.2848281860352 21.322 28.779 28.738
ENSG00000010282 409.4 36.8 0.2 103.61 15.92 318.421997070312 59.5294876098633 0.213182643055916 4.094 1.032 0
