ENSG_ID	Atlas_heart	Atlas_brain	Atlas_kidney
589		1.361	0.198	0.863
590		16	3.826	16.117
591		0.484	3.754	0.689
592		0.162	0.242	0.408
593	ENSG00000136881	0.354	0.098	0.293
594		2.24	11.69	2.927
595		2.119	0.657	3.296
596		2.551	0.72	3.73
597		0.122	0.867	0.44
598		10.512	2.772	2.288
599		0	0	0
600	ENSG00000171282	0.172	0.272	0.191
601		0.275	2.472	1.175
602		0	0.088	1.072
603		6.499	2.571	3.441
604		3.345	5.434	3.875
605	ENSG00000043039	0	0.107	0.483
606	ENSG00000167766	8.432	5.912	15.329
607	ENSG00000167766	7.912	5.689	13.824
608		3.495	5.632	4.519
609	ENSG00000197360	0.049	0.05	0.172
610		2.446	2	3.719
611		7.775	11.318	10.134
612	ENSG00000105327	0.471	1.547	0.275
613	ENSG00000125124	4.492	12.913	7.155
614		2.991	2.943	2.719
615		3.399	3.378	2.977
616		3.386	3.366	2.966
617	ENSG00000187244	1.342	0.343	6.201
618	ENSG00000187244	1.363	0.296	5.736
619		0.005	9.117	0.011
620		11.847	20.433	27.766
621		0	0	0
622		0.225	52.239	0.699
623		0.176	0.194	0.16
624		3.376	6	0.742
625		0.229	0.325	0.053
626		1.022	1.306	0.869
627		0.067	0.97	0.074
628	ENSG00000140379	1.765	3.076	0.167
629		4.138	6.722	8.637
630		0.03	0.08	0.079
631		0.011	0.061	0.224
632		15.268	10.987	4.12
633		15.991	24.306	15.74
634		16.209	24.31	15.83
635		2.206	1.584	2.314
636		0.834	1.161	1.041
637	ENSG00000100739	0	0	0.36
638		3.989	2.525	0.168
639		3.925	2.54	0.166
640		3.911	2.493	0.165
641		3.901	2.475	0.165
642	ENSG00000183092	0.034	1.337	0.054
643	ENSG00000178409	0.129	0.108	0.189
644		0.004	0.548	0.052
645	ENSG00000142959	0.044	0.072	0.018
646		1.457	0.956	2.226
647		1.394	0.91	2.12
648		0.267	0.261	0.33
649		6.282	118.203	11.908
650		5.775	108.694	10.987
651		4.777	89.922	9.09
652	ENSG00000184515	1.367	46.598	4.035
653		0.04	0.229	0.896
654		5.816	6.539	5.284
655		17.063	2.325	6.608
656	ENSG00000198908	0.596	5.042	0.8
657	ENSG00000198908	0.65	5.191	0.837
658	ENSG00000198908	0.629	5.144	0.825
659	ENSG00000198908	0.685	5.177	0.972
660	ENSG00000180828	0.271	11.211	0.154
661		2.292	1.027	59.67
662		5.529	1.774	18.309
663	ENSG00000151746	2.281	9.493	3.228
664	ENSG00000151746	2.098	8.752	2.97
665	ENSG00000185963	2.092	1.559	1.318
666		0.855	20.445	6.587
667		0.837	20.028	6.469
668		0.799	19.132	6.111
669		0.725	17.073	5.497
670		1.594	1.474	0.52
671		0	0	7.074
672		4.188	4.86	6.29
673		0.287	1.275	3.435
674		8.931	25.911	7.642
675	ENSG00000090013	2.265	1.062	2.166
676	ENSG00000104081	0.325	0.109	0.486
677		0.398	0.167	0.164
678		0.363	0.148	0.168
679	ENSG00000163217	139.591	0	0.012
680	ENSG00000130385	0	0	0
681		3.272	5.415	2.99
682		0.016	0.093	0.094
683	ENSG00000125378	0.732	0.416	0.557
684	ENSG00000125378	0.72	0.403	0.54
685		0.793	2.441	1.714
686		0.74	3.337	0.805
687	ENSG00000107779	9.424	7.23	4.83
688		0.526	3.905	1.817
689		10.804	13.357	6.8
690	ENSG00000102010	1.407	0.015	0.553
691		0.024	0	0.008
692		1.33	0.369	1.918
693		1.049	1.017	0.674
694		0.15	0.346	0.114
695		0	0	0.007
696		0.275	0.655	0.344
697		0	0	0
698		0.021	3.335	0.026
699		1.727	2.679	3.601
700		10.88	11.308	11.557
701		1.423	1.04	0.509
702		26.88	35.655	26.213
703		0.553	0.431	0.505
704		2.603	4.195	2.892
705		6.678	8.78	8.775
706		0	0	0.019
707		45.341	46.726	36.777
708		44.995	46.49	36.31
709		0.867	1.507	0.937
710		2.037	2.636	4.279
711		0.064	2.326	0.132
712		0.038	0.09	0.228
713		0.631	10.51	2.325
714		0.509	11.551	2.044
715	ENSG00000188334	0	0.058	0
716	ENSG00000064726	41.225	31.263	15.779
717		1.979	1.727	0.556
718		1.072	1.146	0.795
719		0.768	0.922	0.86
720	ENSG00000133639	7.061	1.92	4.197
721		0	0	0
722		0	0.106	0
723		0.783	0.86	0.848
724		0.405	0.198	0.53
725		4.481	2.424	4.121
726		0.058	0	0.151
727		0.053	0	0.095
728		0.261	0.043	0.011
729		11.415	1.206	0.525
730		13.954	1.902	1.722
731		0.134	3.395	0.356
732	ENSG00000180525	0.602	0.138	0.82
733	ENSG00000180525	0.237	0.134	0.647
734		4.09	3.272	5.583
735		0.243	0	0.048
736		0.374	0.404	0.577
737	ENSG00000107815	1.542	1.993	1.534
738	ENSG00000107815	2.996	3.181	2.56
739	ENSG00000166272	3.727	3.204	3.386
740		9.01	6.441	5.454
741	ENSG00000235931	0	0	0
742		0.015	0	0.075
743		0.467	1.21	1.275
744		11.053	23.022	17.393
745	ENSG00000165863	0.075	0.229	0.037
746		0	0.972	0.475
747		39.053	30.975	20.391
748		0	0	0.01
749		0.099	0.017	0
750		1.502	1.258	1.463
751		0	0	0.062
752	ENSG00000174370	0.231	0.408	0.235
753		0.85	0.133	4.733
754		20.909	34.818	44.849
755		0.297	0.934	0.502
756	ENSG00000180425	0	0.117	0.172
757		1.578	0.591	0.351
758		2.092	2.425	1.066
759		37.579	35.025	17.953
760	ENSG00000204922	0.903	1.894	1.535
761		0.022	0	0.377
762	ENSG00000173237	0	0	0
763		0.016	1.82	0.261
764		6.95	8.952	6.705
765	ENSG00000180861	0.007	0	0.007
766		0	0.014	0
767		1.697	3.631	1.655
768		0.259	0.218	0.329
769		0.464	0.361	2.54
770	ENSG00000174456	0.412	13.415	1.267
771	ENSG00000255874	0.23	0.108	0.176
772		3.44	1.791	0.388
773	ENSG00000180440	0.081	7.268	0.104
774		0.23	1.448	0.8
775	ENSG00000119720	1.609	2.1	2.622
776	ENSG00000165506	1.151	1.164	1.539
777	ENSG00000153485	3.883	3.768	5.459
778		73.031	27.935	6.985
779	ENSG00000100744	0.577	2.64	0.942
780	ENSG00000165555	0.084	0.213	0.052
781		0	0.087	0
782	ENSG00000197775	0.366	0.662	1.944
783		69.158	26.351	6.561
784	ENSG00000197734	0.063	0.043	0.021
785	ENSG00000247097	0.136	0.088	0.079
786		67.065	25.302	6.368
787		0	0.063	0
788		1.035	1.727	1.472
789		0	0.093	0
790		0	0	0
791		0	0	0
792		0	0	0
793		0	0.282	0.046
794		0.427	0.674	0.731
795		3.109	3.576	2.157
796	ENSG00000185823	0.03	0.104	0.258
797	ENSG00000128944	1.31	3.914	1.39
798		0.023	0.442	0.356
799	ENSG00000257028	0.367	0.527	0.445
800	ENSG00000242498	2.001	3.787	2.492
801		0.224	0.038	0.223
802		0.222	0.038	0.221
803		0.395	0.535	1.048
804	ENSG00000140534	0.087	0.074	0.036
805		0	0	0
806	ENSG00000128891	1.175	0.92	1.308
807	ENSG00000189227	0.447	0.791	0.387
808		0	0	0
809		1.594	0.513	0.925
810		0.131	2.334	0.038
811		0.137	2.128	0.094
812		0.427	0.588	0.692
813		0.927	1.784	0.98
814	ENSG00000089486	0.517	2.018	1.238
815	ENSG00000185905	0.165	0.102	0.064
816		0.162	1.021	0.398
817	ENSG00000103121	31.574	25.971	16.071
818		0.042	0.32	0.95
819		0.183	0.496	0.33
820	ENSG00000182831	5.599	5.913	3.933
821		0	0.11	0.141
822	ENSG00000166152	0	0	0
823	ENSG00000182685	0	0.039	0.038
824		0	0	0
825		0	0.149	0.073
826		5.257	9.178	6.891
827	ENSG00000103550	2.294	4.372	3.461
828	ENSG00000181396	0.377	0.46	0.345
829		0.188	0.496	0.504
830		0.793	6.37	2.141
831		1.471	1.11	1.262
832		0.835	0.99	1.025
833		0.726	0.386	1.737
834	ENSG00000186665	0.417	1.284	0.794
835	ENSG00000173065	1.062	1.129	1.559
836	ENSG00000173065	1.066	1.129	1.577
837	ENSG00000214226	0.046	0.047	0
838	ENSG00000167159	0.273	0.985	0.384
839		0.024	0.049	0.077
840		0.479	1.439	0.778
841	ENSG00000184560	0	0	0
842		0.06	0.041	0.169
843	ENSG00000187013	0	0	0
844	ENSG00000074356	2.868	2.658	3.428
845		1.4	0.853	1.865
846		19.346	23.803	14.648
847	ENSG00000204237	0.21	0.122	0.239
848		1.662	1.31	2.058
849	ENSG00000179294	0.26	1.725	0.046
850		0	0	0
851		4.369	10.257	4.507
852	ENSG00000177150	2.717	1.754	1.535
853	ENSG00000132204	0	0	0.008
854		0	0.305	0
855	ENSG00000141428	2.117	3.1	2.32
856		0.017	0.069	1.389
857		0.017	0.068	1.376
858	ENSG00000176912	0	0.045	0
859	ENSG00000206026	0	0	0.054
860	ENSG00000074842	4.062	3.677	4.675
861	ENSG00000198858	0.155	0.356	0.164
862	ENSG00000228300	0.271	0.169	1.015
863		0.022	0.133	0.014
864	ENSG00000167644	0	0	0
865	ENSG00000180846	0	0	0
866	ENSG00000131944	0.147	0.4	0.31
867		0.012	0	0.18
868	ENSG00000167747	0.297	0.151	0.345
869	ENSG00000105700	4.799	5.237	3.936
870	ENSG00000142444	0.28	0.489	0.279
871	ENSG00000161671	0.929	1.109	1.019
872	ENSG00000221916	0	0.051	0.025
873	ENSG00000095932	0	0.042	109.653
874	ENSG00000197223	3.279	6.029	4.317
875		5.165	10.264	8.553
876		0.193	0.131	0.48
877		2.276	0	0.038
878	ENSG00000116922	0.847	2.606	1.905
879		1.019	5.848	2.981
880		3.938	4.754	3.763
881		0.782	0.977	0.957
882		3.258	7.582	2.421
883		0.071	0.014	0.021
