ENSG_ID	HPA_heart	HPA_brain	HPA_kidney
392	ENSG00000019485	5.7	3.8	3.6
393	ENSG00000019505	4.4	39	7.9
394	ENSG00000019549	7.4	0.9	10
395	ENSG00000019582	369	234.6	518.9
396	ENSG00000019991	3.3	2.6	8.8
397	ENSG00000019995	15.9	16	10.3
398	ENSG00000020129	15.2	129.5	7.3
399	ENSG00000020181	9.9	3.3	6.7
400	ENSG00000020256	4.4	5.5	5.4
401	ENSG00000020426	63.4	20.5	26.6
402	ENSG00000020577	45.3	10.6	4.9
403	ENSG00000020633	1	0.7	0.9
404	ENSG00000020922	4.2	5.1	6.4
405	ENSG00000021300	10.4	206.4	9.2
406	ENSG00000021355	22.3	10.2	25.8
407	ENSG00000021461	0	0.3	0
408	ENSG00000021488	0	0.2	54.4
409	ENSG00000021574	2.9	11.9	4.7
410	ENSG00000021645	1.7	31.1	1.3
411	ENSG00000021762	8.1	6.5	7
412	ENSG00000021776	5.3	8.1	8.9
413	ENSG00000021826	1.6	2.5	1.8
414	ENSG00000021852	0	0	0
415	ENSG00000022267	928.7	97.7	25.8
416	ENSG00000022277	68.2	68.6	64.1
417	ENSG00000022355	0	68	0.1
418	ENSG00000022556	0.4	1.4	0.9
419	ENSG00000022567	5.4	6.7	10.8
420	ENSG00000022840	107.8	57	81.5
421	ENSG00000022976	7.4	8.5	8.5
422	ENSG00000023041	15.1	16.5	42.2
423	ENSG00000023171	1.9	22.1	10.5
424	ENSG00000023191	63.7	43.1	68.3
425	ENSG00000023228	120.3	40.2	72.9
426	ENSG00000023287	21.6	30.5	17.2
427	ENSG00000023318	12.5	8.9	14.2
428	ENSG00000023330	75.6	20.7	28
429	ENSG00000023445	3.3	1.6	6.1
430	ENSG00000023516	9	30.9	12.9
431	ENSG00000023572	16.4	12.4	10.9
432	ENSG00000023608	6.6	3.2	5.6
433	ENSG00000023697	22.8	15.3	69.7
434	ENSG00000023734	77	83.4	74.4
435	ENSG00000023839	0.1	0.1	16.3
436	ENSG00000023892	1.1	2.3	1.5
437	ENSG00000023902	34.8	25	10.3
438	ENSG00000023909	5.1	7.8	14
439	ENSG00000024048	8.4	7.3	11.3
440	ENSG00000024422	25.3	7.7	9.5
441	ENSG00000024526	0.2	0.3	0.2
442	ENSG00000024862	8.7	15.4	35.3
443	ENSG00000025039	55.7	25.3	33.1
444	ENSG00000025156	17.5	10.1	4.8
445	ENSG00000025293	10.3	15.5	8.3
446	ENSG00000025423	0.3	11	2
447	ENSG00000025434	11.6	8.1	23.1
448	ENSG00000025708	5.7	4.2	7.2
449	ENSG00000025770	16.3	19.1	12.9
450	ENSG00000025772	9.4	19.3	17.6
451	ENSG00000025796	17.6	24.8	24.8
452	ENSG00000025800	15.7	13.6	11.7
453	ENSG00000026025	395.6	206.1	165.1
454	ENSG00000026036	0.6	1.2	1.3
455	ENSG00000026103	5.1	6.2	8.9
456	ENSG00000026297	16.4	32.2	17.9
457	ENSG00000026508	15.1	31	16.9
458	ENSG00000026559	0.2	2.5	0.2
459	ENSG00000026652	2.7	22.3	4.5
460	ENSG00000026751	1.7	0.4	1.2
461	ENSG00000026950	9.5	12.5	12.4
462	ENSG00000027001	58.4	3.8	20.6
463	ENSG00000027075	17.1	4.5	8.5
464	ENSG00000027644	0	0	1.7
465	ENSG00000027697	76.9	35.7	31.4
466	ENSG00000027847	10.4	9.1	11.9
467	ENSG00000027869	0.4	0.3	0.4
468	ENSG00000028116	12	4.9	9
469	ENSG00000028137	9	7.3	5.4
470	ENSG00000028203	33.8	32.9	25.5
471	ENSG00000028277	0.5	2.4	1
472	ENSG00000028310	15.8	18.4	10.5
473	ENSG00000028528	46.3	40	55.4
474	ENSG00000028839	12.6	28.4	13.4
475	ENSG00000029153	0.7	4.3	0.6
476	ENSG00000029363	26.2	50.8	35.4
477	ENSG00000029364	10.4	23.9	31.8
478	ENSG00000029534	68.5	2.7	0.8
479	ENSG00000029559	0.1	1	0
480	ENSG00000029639	11.1	4.8	7.3
481	ENSG00000029725	24.4	41.2	20.2
482	ENSG00000029993	5	14.5	10.8
483	ENSG00000030066	7	8.3	11.6
484	ENSG00000030110	6.5	3.4	5.8
485	ENSG00000030304	1.7	0.1	0
486	ENSG00000030419	1.2	1.9	1.7
487	ENSG00000030582	78.3	30.5	84.9
488	ENSG00000031003	15	20.2	12.1
489	ENSG00000031081	15.2	8.6	4.9
490	ENSG00000031691	5	5.4	3
491	ENSG00000031698	72.7	90.5	67.8
492	ENSG00000031823	27.6	30.7	22
493	ENSG00000032219	7.8	15.1	10.3
494	ENSG00000032389	11.7	24.4	16.6
495	ENSG00000032444	9.7	26.2	23.2
496	ENSG00000032742	4.9	7.6	17.9
497	ENSG00000033011	5.2	6.8	10.6
498	ENSG00000033030	7	7.4	10.6
499	ENSG00000033050	18.7	21.3	16.7
500	ENSG00000033100	10.8	7	7.4
501	ENSG00000033122	0.9	15.8	1.1
502	ENSG00000033170	6.6	28.7	8.1
503	ENSG00000033178	6.2	10.3	7
504	ENSG00000033327	11.9	19.9	4.8
505	ENSG00000033627	18	109.6	39.7
506	ENSG00000033800	16.6	21.1	16.2
507	ENSG00000033867	4.1	4	7.3
508	ENSG00000034053	0.4	48.4	0.4
509	ENSG00000034152	34.3	7.7	26.4
510	ENSG00000034239	0.1	2.3	0.3
511	ENSG00000034510	443.9	529.2	310.1
512	ENSG00000034533	2.6	3.4	3.6
513	ENSG00000034677	20.9	29.6	26.3
514	ENSG00000034693	16.2	11.4	23
515	ENSG00000034713	203.6	169	114.5
516	ENSG00000034971	14.4	0	0.3
517	ENSG00000035115	10.3	28.9	133.9
518	ENSG00000035141	17.2	11.6	22.7
519	ENSG00000035403	109	10.3	34.4
520	ENSG00000035499	0.1	0.9	2.8
521	ENSG00000035664	23.9	4.6	3.1
522	ENSG00000035681	11.2	10.4	9.6
523	ENSG00000035687	5.6	23	23.8
524	ENSG00000035720	0.3	0	9.2
525	ENSG00000035862	129	109.2	71.6
526	ENSG00000035928	14.2	17.1	22.5
527	ENSG00000036054	13.2	12.5	15.8
528	ENSG00000036257	31	34.1	39.9
529	ENSG00000036448	416	10.1	16.7
530	ENSG00000036473	0.1	0.6	0.2
531	ENSG00000036530	4.3	33.9	1.4
532	ENSG00000036549	11.7	12.2	17.3
533	ENSG00000036565	0	0.1	0
534	ENSG00000036672	39.2	19	35.8
535	ENSG00000036828	0	0	21.1
536	ENSG00000037042	19	43.4	19.5
537	ENSG00000037241	9.9	9.4	14.9
538	ENSG00000037280	4.4	0.8	7.7
539	ENSG00000037474	20.2	19.8	19.2
540	ENSG00000037637	11.3	8.7	7.9
541	ENSG00000037749	24	13.8	12.7
542	ENSG00000037757	8.7	8.2	20.2
543	ENSG00000037897	4.7	7	23.2
544	ENSG00000037965	0	0	1.4
545	ENSG00000038002	7.2	10.5	18.3
546	ENSG00000038210	6.8	5	16.8
547	ENSG00000038219	8.4	13	12.8
548	ENSG00000038274	57.2	37.1	79
549	ENSG00000038295	0.5	0.9	1.4
550	ENSG00000038358	15.5	24.4	17.2
551	ENSG00000038382	13.9	32.1	9.9
552	ENSG00000038427	19	23.3	7.1
553	ENSG00000038532	8.6	14	8.7
554	ENSG00000038945	5.7	8.7	6.5
555	ENSG00000039068	0.2	1.5	37.2
556	ENSG00000039123	25.6	30.4	31.8
557	ENSG00000039139	0.1	0.4	1
558	ENSG00000039319	15.3	23.8	12.9
559	ENSG00000039523	27.4	24.1	36.8
560	ENSG00000039537	29	0.1	1.6
561	ENSG00000039560	12.5	9.5	24.6
562	ENSG00000039600	0.1	0.1	0.2
563	ENSG00000039650	13	9.7	14.9
564	ENSG00000039987	0	0.1	0
565	ENSG00000040199	1.5	7.5	3.2
566	ENSG00000040275	3	7.1	4.8
567	ENSG00000040341	73.1	43.3	26.9
568	ENSG00000040487	4.2	5.7	7.2
569	ENSG00000040531	6.7	7.5	14.1
570	ENSG00000040608	0.8	10.7	0.4
571	ENSG00000040633	12	17.5	19.4
572	ENSG00000040731	0.1	21.9	0.1
573	ENSG00000040933	9.4	21.4	6.2
574	ENSG00000041353	0.1	14.8	0.3
575	ENSG00000041357	69.5	59.5	82.8
576	ENSG00000041515	0.8	2.9	0.2
577	ENSG00000041802	12.1	12.9	17.5
578	ENSG00000041880	12.3	10.6	19.3
579	ENSG00000041982	12.1	18.4	30
580	ENSG00000041988	9.5	7.9	11.7
581	ENSG00000042062	6	0.9	25.7
582	ENSG00000042088	2.3	5.3	6.5
583	ENSG00000042286	8.9	2.2	6.2
584	ENSG00000042304	0	0	0
585	ENSG00000042317	4.2	8	10.1
586	ENSG00000042429	19.4	15.8	18.7
587	ENSG00000042445	16.3	15.7	51.4
588	ENSG00000042493	5.9	17.8	93.8
589	ENSG00000042753	35.1	55	39.9
590	ENSG00000042781	0.1	0	0.1
591	ENSG00000042813	0	0	0.2
592	ENSG00000042832	6.5	0.8	2.7
593	ENSG00000042980	1.2	7.3	6.8
594	ENSG00000043039	0.1	0.5	4.8
595	ENSG00000043093	10.3	18.4	13.9
596	ENSG00000043143	11.2	11.5	17.6
597	ENSG00000043355	0	4.7	0
598	ENSG00000043462	6.8	10.1	6.7
599	ENSG00000043514	10.4	8.8	10.7
600	ENSG00000043591	11.6	3.8	0.9
601	ENSG00000044012	0	0.1	0.1
602	ENSG00000044090	5.3	4.1	9.9
603	ENSG00000044115	201.1	84.3	126.7
604	ENSG00000044446	12.9	7.3	10.6
605	ENSG00000044459	1.8	2.1	2.4
606	ENSG00000044524	7.4	2.9	1.2
607	ENSG00000044574	118	65.7	87.8
608	ENSG00000046604	24.3	0.4	25.8
609	ENSG00000046647	12.2	11.6	15.3
610	ENSG00000046651	6	6.8	11.2
611	ENSG00000046653	8.8	433.6	4.9
612	ENSG00000046774	0	0	0
613	ENSG00000046889	3.2	7.6	1.9
614	ENSG00000047056	13.3	15.9	7.1
615	ENSG00000047188	6.4	10.3	8.8
616	ENSG00000047230	3.7	5.4	5.7
617	ENSG00000047249	26.7	70.8	57.5
618	ENSG00000047315	38.3	32.8	31.8
619	ENSG00000047346	21	15.9	14.9
620	ENSG00000047365	1	21.1	3.7
621	ENSG00000047410	16.6	18	18.7
622	ENSG00000047457	5.6	8.5	4.7
623	ENSG00000047578	5.4	6.1	7.9
